block 1000, total 42000, active 17164, size 12, leak 205968.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5800, active 4373, size 48, leak 209904.
block 32, total 10496, active 10482, size 340, leak 3563880.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5600, active 3283, size 48, leak 157584.
block 32, total 10464, active 10451, size 340, leak 3553340.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5400, active 4559, size 48, leak 218832.
block 32, total 10464, active 10455, size 340, leak 3554700.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5600, active 3190, size 48, leak 153120.
block 32, total 10464, active 10448, size 340, leak 3552320.
block 1000, total 37000, active 15281, size 12, leak 183372.
block 200, total 9800, active 4388, size 48, leak 210624.
block 32, total 14528, active 14522, size 340, leak 4937480.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5600, active 3142, size 48, leak 150816.
block 32, total 14528, active 14513, size 340, leak 4934420.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5400, active 4477, size 48, leak 214896.
block 32, total 14496, active 14495, size 340, leak 4928300.
block 1000, total 37000, active 15243, size 12, leak 182916.
block 200, total 5400, active 3321, size 48, leak 159408.
block 32, total 14528, active 14513, size 340, leak 4934420.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5400, active 3996, size 48, leak 191808.
block 32, total 14528, active 14505, size 340, leak 4931700.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5600, active 3940, size 48, leak 189120.
block 32, total 14528, active 14505, size 340, leak 4931700.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5400, active 2861, size 48, leak 137328.
block 32, total 14560, active 14542, size 340, leak 4944280.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5400, active 2958, size 48, leak 141984.
block 32, total 14528, active 14523, size 340, leak 4937820.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5000, active 4775, size 48, leak 229200.
block 32, total 14528, active 14512, size 340, leak 4934080.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5000, active 2787, size 48, leak 133776.
block 32, total 14528, active 14524, size 340, leak 4938160.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 2788, size 48, leak 133824.
block 32, total 14528, active 14524, size 340, leak 4938160.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 2881, size 48, leak 138288.
block 32, total 14528, active 14524, size 340, leak 4938160.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5000, active 2828, size 48, leak 135744.
block 32, total 14560, active 14543, size 340, leak 4944620.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 2926, size 48, leak 140448.
block 32, total 14560, active 14535, size 340, leak 4941900.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 4012, size 48, leak 192576.
block 32, total 14528, active 14524, size 340, leak 4938160.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 3791, size 48, leak 181968.
block 32, total 14560, active 14533, size 340, leak 4941220.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 3715, size 48, leak 178320.
block 32, total 14528, active 14521, size 340, leak 4937140.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5000, active 3895, size 48, leak 186960.
block 32, total 14560, active 14550, size 340, leak 4947000.
block 1000, total 37000, active 15212, size 12, leak 182544.
block 200, total 6400, active 5274, size 48, leak 253152.
block 32, total 14560, active 14555, size 340, leak 4948700.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 3289, size 48, leak 157872.
block 32, total 14592, active 14564, size 340, leak 4951760.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5200, active 4074, size 48, leak 195552.
block 32, total 14592, active 14581, size 340, leak 4957540.
block 1000, total 37000, active 15208, size 12, leak 182496.
block 200, total 5200, active 4006, size 48, leak 192288.
block 32, total 14592, active 14563, size 340, leak 4951420.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5200, active 2963, size 48, leak 142224.
block 32, total 14592, active 14562, size 340, leak 4951080.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5200, active 4167, size 48, leak 200016.
block 32, total 14560, active 14550, size 340, leak 4947000.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5400, active 5151, size 48, leak 247248.
block 32, total 14560, active 14553, size 340, leak 4948020.
block 1000, total 37000, active 15229, size 12, leak 182748.
block 200, total 5000, active 3922, size 48, leak 188256.
block 32, total 14592, active 14573, size 340, leak 4954820.
block 1000, total 37000, active 15225, size 12, leak 182700.
block 200, total 5000, active 2807, size 48, leak 134736.
block 32, total 14624, active 14608, size 340, leak 4966720.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 4800, active 2742, size 48, leak 131616.
block 32, total 14592, active 14584, size 340, leak 4958560.
block 1000, total 37000, active 15231, size 12, leak 182772.
block 200, total 4800, active 2803, size 48, leak 134544.
block 32, total 14592, active 14574, size 340, leak 4955160.
block 1000, total 42000, active 20764, size 12, leak 249168.
block 200, total 5800, active 3663, size 48, leak 175824.
block 32, total 14624, active 14613, size 340, leak 4968420.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 4800, active 2822, size 48, leak 135456.
block 32, total 14624, active 14602, size 340, leak 4964680.
block 1000, total 37000, active 15248, size 12, leak 182976.
block 200, total 5800, active 3314, size 48, leak 159072.
block 32, total 14656, active 14634, size 340, leak 4975560.
block 1000, total 37000, active 15225, size 12, leak 182700.
block 200, total 6800, active 2695, size 48, leak 129360.
block 32, total 14688, active 14680, size 340, leak 4991200.
block 1000, total 37000, active 15220, size 12, leak 182640.
block 200, total 8200, active 4243, size 48, leak 203664.
block 32, total 14656, active 14637, size 340, leak 4976580.
block 1000, total 37000, active 15224, size 12, leak 182688.
block 200, total 7800, active 2678, size 48, leak 128544.
block 32, total 14592, active 14592, size 340, leak 4961280.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 4800, active 2784, size 48, leak 133632.
block 32, total 14624, active 14600, size 340, leak 4964000.
block 1000, total 37000, active 15223, size 12, leak 182676.
block 200, total 5000, active 3531, size 48, leak 169488.
block 32, total 14592, active 14590, size 340, leak 4960600.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5200, active 3332, size 48, leak 159936.
block 32, total 14592, active 14574, size 340, leak 4955160.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5600, active 4512, size 48, leak 216576.
block 32, total 14592, active 14564, size 340, leak 4951760.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5000, active 4407, size 48, leak 211536.
block 32, total 14272, active 14262, size 340, leak 4849080.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 4800, active 3704, size 48, leak 177792.
block 32, total 14272, active 14262, size 340, leak 4849080.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5600, active 5379, size 48, leak 258192.
block 32, total 14272, active 14270, size 340, leak 4851800.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5600, active 4587, size 48, leak 220176.
block 32, total 14304, active 14274, size 340, leak 4853160.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 6400, active 5058, size 48, leak 242784.
block 32, total 12064, active 12058, size 340, leak 4099720.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 7000, active 5123, size 48, leak 245904.
block 32, total 12064, active 12062, size 340, leak 4101080.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5800, active 4513, size 48, leak 216624.
block 32, total 12064, active 12058, size 340, leak 4099720.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 6000, active 4165, size 48, leak 199920.
block 32, total 12064, active 12061, size 340, leak 4100740.
block 1000, total 37000, active 15283, size 12, leak 183396.
block 200, total 5200, active 3795, size 48, leak 182160.
block 32, total 12096, active 12070, size 340, leak 4103800.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 6000, active 4138, size 48, leak 198624.
block 32, total 12096, active 12081, size 340, leak 4107540.
block 1000, total 37000, active 15219, size 12, leak 182628.
block 200, total 5800, active 4276, size 48, leak 205248.
block 32, total 12128, active 12107, size 340, leak 4116380.
block 1000, total 37000, active 15263, size 12, leak 183156.
block 200, total 7200, active 4020, size 48, leak 192960.
block 32, total 14336, active 14316, size 340, leak 4867440.
block 1000, total 37000, active 15255, size 12, leak 183060.
block 200, total 5400, active 4128, size 48, leak 198144.
block 32, total 14304, active 14293, size 340, leak 4859620.
block 1000, total 37000, active 15255, size 12, leak 183060.
block 200, total 5000, active 3866, size 48, leak 185568.
block 32, total 14304, active 14289, size 340, leak 4858260.
block 1000, total 37000, active 15255, size 12, leak 183060.
block 200, total 5400, active 4139, size 48, leak 198672.
block 32, total 14304, active 14303, size 340, leak 4863020.
block 1000, total 37000, active 15255, size 12, leak 183060.
block 200, total 5400, active 4216, size 48, leak 202368.
block 32, total 14304, active 14303, size 340, leak 4863020.
block 1000, total 37000, active 15410, size 12, leak 184920.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5400, active 3943, size 48, leak 189264.
block 32, total 14304, active 14301, size 340, leak 4862340.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 6000, active 4110, size 48, leak 197280.
block 32, total 14336, active 14315, size 340, leak 4867100.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 6000, active 4495, size 48, leak 215760.
block 32, total 14304, active 14303, size 340, leak 4863020.
block 1000, total 37000, active 15262, size 12, leak 183144.
block 200, total 6800, active 4595, size 48, leak 220560.
block 32, total 14336, active 14317, size 340, leak 4867780.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 6000, active 4655, size 48, leak 223440.
block 32, total 14304, active 14290, size 340, leak 4858600.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 4608, size 48, leak 221184.
block 32, total 14336, active 14331, size 340, leak 4872540.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 2940, size 48, leak 141120.
block 32, total 14304, active 14303, size 340, leak 4863020.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 3160, size 48, leak 151680.
block 32, total 14304, active 14303, size 340, leak 4863020.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 4413, size 48, leak 211824.
block 32, total 14304, active 14291, size 340, leak 4858940.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 3096, size 48, leak 148608.
block 32, total 14336, active 14316, size 340, leak 4867440.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 3096, size 48, leak 148608.
block 32, total 14336, active 14320, size 340, leak 4868800.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 4521, size 48, leak 217008.
block 32, total 14304, active 14296, size 340, leak 4860640.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5800, active 4173, size 48, leak 200304.
block 32, total 14304, active 14296, size 340, leak 4860640.
block 1000, total 37000, active 15419, size 12, leak 185028.
block 200, total 5800, active 3116, size 48, leak 149568.
block 32, total 14368, active 14367, size 340, leak 4884780.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 5400, active 4221, size 48, leak 202608.
block 32, total 14304, active 14304, size 340, leak 4863360.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 6000, active 3446, size 48, leak 165408.
block 32, total 14368, active 14367, size 340, leak 4884780.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 7000, active 3102, size 48, leak 148896.
block 32, total 14336, active 14330, size 340, leak 4872200.
block 1000, total 37000, active 15255, size 12, leak 183060.
block 200, total 4000, active 2216, size 48, leak 106368.
block 32, total 14432, active 14411, size 340, leak 4899740.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2600, active 1395, size 48, leak 66960.
block 32, total 14720, active 14712, size 340, leak 5002080.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2600, active 1777, size 48, leak 85296.
block 32, total 14720, active 14693, size 340, leak 4995620.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 4600, active 1925, size 48, leak 92400.
block 32, total 14720, active 14707, size 340, leak 5000380.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 3600, active 3339, size 48, leak 160272.
block 32, total 14720, active 14693, size 340, leak 4995620.
block 1000, total 37000, active 15260, size 12, leak 183120.
block 200, total 2800, active 1919, size 48, leak 92112.
block 32, total 14720, active 14700, size 340, leak 4998000.
block 1000, total 37000, active 15270, size 12, leak 183240.
block 200, total 2600, active 1902, size 48, leak 91296.
block 32, total 14720, active 14695, size 340, leak 4996300.
block 1000, total 37000, active 15271, size 12, leak 183252.
block 200, total 3200, active 1811, size 48, leak 86928.
block 32, total 14752, active 14734, size 340, leak 5009560.
block 1000, total 37000, active 15264, size 12, leak 183168.
block 200, total 6800, active 2233, size 48, leak 107184.
block 32, total 14720, active 14719, size 340, leak 5004460.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2400, active 1894, size 48, leak 90912.
block 32, total 14688, active 14682, size 340, leak 4991880.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2000, active 1687, size 48, leak 80976.
block 32, total 14688, active 14682, size 340, leak 4991880.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2000, active 1757, size 48, leak 84336.
block 32, total 14688, active 14682, size 340, leak 4991880.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2000, active 1567, size 48, leak 75216.
block 32, total 14688, active 14682, size 340, leak 4991880.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2400, active 1413, size 48, leak 67824.
block 32, total 14720, active 14701, size 340, leak 4998340.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2400, active 1463, size 48, leak 70224.
block 32, total 14720, active 14690, size 340, leak 4994600.
block 1000, total 37000, active 15258, size 12, leak 183096.
block 32, total 14720, active 14696, size 340, leak 4996640.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 32, total 14720, active 14696, size 340, leak 4996640.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 32, total 14720, active 14696, size 340, leak 4996640.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2800, active 1396, size 48, leak 67008.
block 32, total 14720, active 14696, size 340, leak 4996640.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 32, total 14720, active 14696, size 340, leak 4996640.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 3200, active 1979, size 48, leak 94992.
block 32, total 14752, active 14721, size 340, leak 5005140.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 32, total 14752, active 14723, size 340, leak 5005820.
block 1000, total 37000, active 15271, size 12, leak 183252.
block 200, total 5400, active 1833, size 48, leak 87984.
block 32, total 14752, active 14746, size 340, leak 5013640.
block 1000, total 37000, active 15268, size 12, leak 183216.
block 200, total 2800, active 1678, size 48, leak 80544.
block 32, total 14720, active 14714, size 340, leak 5002760.
block 1000, total 37000, active 15264, size 12, leak 183168.
block 200, total 5000, active 1980, size 48, leak 95040.
block 32, total 14752, active 14735, size 340, leak 5009900.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2600, active 1539, size 48, leak 73872.
block 32, total 14720, active 14698, size 340, leak 4997320.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 3000, active 1569, size 48, leak 75312.
block 32, total 14720, active 14718, size 340, leak 5004120.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2800, active 1779, size 48, leak 85392.
block 32, total 14720, active 14700, size 340, leak 4998000.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 1800, active 1535, size 48, leak 73680.
block 32, total 14688, active 14662, size 340, leak 4985080.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 6800, active 1690, size 48, leak 81120.
block 32, total 14752, active 14745, size 340, leak 5013300.
block 1000, total 37000, active 15256, size 12, leak 183072.
block 200, total 4800, active 2308, size 48, leak 110784.
block 32, total 14720, active 14716, size 340, leak 5003440.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 200, total 2400, active 1497, size 48, leak 71856.
block 32, total 14688, active 14662, size 340, leak 4985080.
block 1000, total 37000, active 15254, size 12, leak 183048.
block 32, total 14688, active 14662, size 340, leak 4985080.
block 1000, total 37000, active 15255, size 12, leak 183060.
block 200, total 2800, active 1500, size 48, leak 72000.
block 32, total 14688, active 14679, size 340, leak 4990860.
block 1000, total 37000, active 15272, size 12, leak 183264.
block 200, total 3000, active 1919, size 48, leak 92112.
block 32, total 14720, active 14706, size 340, leak 5000040.
block 1000, total 37000, active 15274, size 12, leak 183288.
block 200, total 2600, active 1460, size 48, leak 70080.
block 32, total 14688, active 14677, size 340, leak 4990180.
block 1000, total 37000, active 15265, size 12, leak 183180.
block 200, total 1800, active 1455, size 48, leak 69840.
block 32, total 14688, active 14662, size 340, leak 4985080.
block 1000, total 37000, active 15265, size 12, leak 183180.
block 200, total 1800, active 1605, size 48, leak 77040.
block 32, total 14688, active 14662, size 340, leak 4985080.
block 1000, total 41000, active 16602, size 12, leak 199224.
block 200, total 5800, active 4369, size 48, leak 209712.
block 32, total 15008, active 14999, size 340, leak 5099660.
block 1000, total 41000, active 16612, size 12, leak 199344.
block 200, total 5800, active 4708, size 48, leak 225984.
block 32, total 15008, active 15003, size 340, leak 5101020.
block 1000, total 41000, active 16603, size 12, leak 199236.
block 200, total 5800, active 4468, size 48, leak 214464.
block 32, total 15008, active 14998, size 340, leak 5099320.
block 1000, total 195000, active 170527, size 12, leak 2046324.
block 200, total 5600, active 4179, size 48, leak 200592.
block 32, total 15008, active 15003, size 340, leak 5101020.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3400, active 2337, size 48, leak 112176.
block 32, total 15072, active 15058, size 340, leak 5119720.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 32, total 16544, active 16528, size 340, leak 5619520.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 32, total 15072, active 15052, size 340, leak 5117680.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1611, size 48, leak 77328.
block 32, total 16544, active 16534, size 340, leak 5621560.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1658, size 48, leak 79584.
block 32, total 15072, active 15050, size 340, leak 5117000.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1459, size 48, leak 70032.
block 32, total 15072, active 15050, size 340, leak 5117000.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3200, active 1784, size 48, leak 85632.
block 32, total 16544, active 16542, size 340, leak 5624280.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 32, total 16832, active 16811, size 340, leak 5715740.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3000, active 1663, size 48, leak 79824.
block 32, total 16800, active 16798, size 340, leak 5711320.
block 1000, total 37000, active 15565, size 12, leak 186780.
block 200, total 2600, active 1401, size 48, leak 67248.
block 32, total 16832, active 16810, size 340, leak 5715400.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1671, size 48, leak 80208.
block 32, total 16832, active 16809, size 340, leak 5715060.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 32, total 16800, active 16798, size 340, leak 5711320.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 32, total 16800, active 16798, size 340, leak 5711320.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1534, size 48, leak 73632.
block 32, total 16800, active 16798, size 340, leak 5711320.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1658, size 48, leak 79584.
block 32, total 16544, active 16528, size 340, leak 5619520.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3000, active 1635, size 48, leak 78480.
block 32, total 16544, active 16515, size 340, leak 5615100.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3000, active 1674, size 48, leak 80352.
block 32, total 17216, active 17192, size 340, leak 5845280.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1481, size 48, leak 71088.
block 32, total 17216, active 17192, size 340, leak 5845280.
block 1000, total 37000, active 15589, size 12, leak 187068.
block 200, total 3000, active 1826, size 48, leak 87648.
block 32, total 17216, active 17189, size 340, leak 5844260.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1483, size 48, leak 71184.
block 32, total 17216, active 17191, size 340, leak 5844940.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1468, size 48, leak 70464.
block 32, total 17216, active 17191, size 340, leak 5844940.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 32, total 17216, active 17189, size 340, leak 5844260.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3000, active 1783, size 48, leak 85584.
block 32, total 17216, active 17189, size 340, leak 5844260.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 2800, active 1560, size 48, leak 74880.
block 32, total 17216, active 17187, size 340, leak 5843580.
block 32, total 13440, active 13435, size 340, leak 4567900.
block 1000, total 37000, active 15565, size 12, leak 186780.
block 200, total 2600, active 1390, size 48, leak 66720.
block 32, total 17216, active 17191, size 340, leak 5844940.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3000, active 1726, size 48, leak 82848.
block 32, total 17216, active 17191, size 340, leak 5844940.
block 1000, total 37000, active 15581, size 12, leak 186972.
block 32, total 17216, active 17199, size 340, leak 5847660.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 200, total 3000, active 1630, size 48, leak 78240.
block 32, total 17216, active 17191, size 340, leak 5844940.
block 1000, total 37000, active 15561, size 12, leak 186732.
block 32, total 17184, active 17179, size 340, leak 5840860.
